,start,end,stock,buy strategy,sell strategy,revenue
0,2021-10-01,2022-10-01,"TSLA
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.08175941497802669
1,2021-10-01,2022-10-01,"PLTR
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.023266732883453916
2,2021-10-01,2022-10-01,"AAPL
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.1829827848815914
3,2021-10-01,2022-10-01,"AMZN
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.002131922302246312
4,2021-10-01,2022-10-01,"AMD
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.20021747386932293
5,2021-10-01,2022-10-01,"NIO
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.04286085614204439
6,2021-10-01,2022-10-01,"LCID
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.00040814038276676
7,2021-10-01,2022-10-01,"F
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.16917542988777132
8,2021-10-01,2022-10-01,"T
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.021577550716400218
9,2021-10-01,2022-10-01,"RIVN
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.2851862810420993
10,2021-10-01,2022-10-01,"NVDA
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.29817288536071773
11,2021-10-01,2022-10-01,"BBD
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.27307476008892045
12,2021-10-01,2022-10-01,"SOFI
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.05209039631366741
13,2021-10-01,2022-10-01,"MARA
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.8092758198666569
14,2021-10-01,2022-10-01,"CCL
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.04136095409393329
15,2021-10-01,2022-10-01,"OPEN
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.2917329550123219
16,2021-10-01,2022-10-01,"PFE
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.10192209903716994
17,2021-10-01,2022-10-01,"AMC
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.025663755111693717
18,2021-10-01,2022-10-01,"BAC
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.05433202457427997
19,2021-10-01,2022-10-01,"WBD
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.10657337691783977
20,2021-10-01,2022-10-01,"DNA
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.4399524199306961
21,2021-10-01,2022-10-01,"JBLU
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,-0.2265836929273608
22,2021-10-01,2022-10-01,"ITUB
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.3092514055633543
23,2021-10-01,2022-10-01,"PCG
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.17530001554489116
24,2021-10-01,2022-10-01,"PYPL
",BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.306031426734924
25,2021-10-01,2022-10-01,overall,BuyStrategy.Uptrend_converging_bottom,SellStrategy.Trailing_stop,0.0907458475898262
['TSLA\n', 'PLTR\n', 'AAPL\n', 'AMZN\n', 'AMD\n', 'NIO\n', 'LCID\n', 'F\n', 'T\n', 'RIVN\n', 'NVDA\n', 'BBD\n', 'SOFI\n', 'MARA\n', 'CCL\n', 'OPEN\n', 'PFE\n', 'AMC\n', 'BAC\n', 'WBD\n', 'DNA\n', 'JBLU\n', 'ITUB\n', 'PCG\n', 'PYPL\n']: trail stop=0.05, fixed stop loss=None, profit target=None
