,start,end,stock,buy strategy,sell strategy,revenue,trade times,revenue if buy and hold
0,2020-06-01,2021-06-01,AAPL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.2597483917236328,10.0,0.5474289886474609
1,2020-06-01,2021-06-01,MSFT,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.06407893572998073,11.0,0.36098995056152344
2,2020-06-01,2021-06-01,AMZN,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.13436778979492156,9.0,0.30081201171875
3,2020-06-01,2021-06-01,NVDA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.4587397466430666,14.0,0.8405223327636718
4,2020-06-01,2021-06-01,GOOGL,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.3428472361145019,10.0,0.6407760864257812
5,2020-06-01,2021-06-01,GOOG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.4289968188781737,9.0,0.6809192932128906
6,2020-06-01,2021-06-01,META,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.02933013085937455,15.0,0.4163260314941406
7,2020-06-01,2021-06-01,TSLA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,2.6082740623931873,16.0,2.480506594467163
8,2020-06-01,2021-06-01,BRK-B,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.4806309936523436,6.0,0.5702400329589844
9,2020-06-01,2021-06-01,UNH,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.20069601159667946,6.0,0.33916806640625
10,2020-06-01,2021-06-01,LLY,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.28353996557617195,9.0,0.3073850555419922
11,2020-06-01,2021-06-01,XOM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.5203358973236083,14.0,0.26114400329589843
12,2020-06-01,2021-06-01,JPM,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.5688721100769042,8.0,0.662964070892334
13,2020-06-01,2021-06-01,JNJ,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.15771199645996076,4.0,0.14780198364257813
14,2020-06-01,2021-06-01,V,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.05904108648681631,7.0,0.16804498443603516
15,2020-06-01,2021-06-01,AVGO,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.23869283032226557,10.0,0.6199559875488281
16,2020-06-01,2021-06-01,PG,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.08868216168212893,6.0,0.14960005187988282
17,2020-06-01,2021-06-01,MA,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.14691004321289075,8.0,0.19529397583007813
18,2020-06-01,2021-06-01,HD,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.06369493499755845,9.0,0.28648004150390627
19,2020-06-01,2021-06-01,CVX,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.2562909241638188,12.0,0.1177
20,2020-06-01,2021-06-01,MRK,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,-0.0318357623901371,7.0,-0.04587498626708984
21,2020-06-01,2021-06-01,ABBV,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.03510909042358435,9.0,0.2475
22,2020-06-01,2021-06-01,PEP,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.07761699169921885,6.0,0.1121249771118164
23,2020-06-01,2021-06-01,ADBE,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.21891801330566413,11.0,0.28724998474121094
24,2020-06-01,2021-06-01,COST,BuyStrategy.FOLLOW_BUYPT_FILTER,SellStrategy.TRAILING_AND_FIXED_SL,0.12381593627929706,8.0,0.2239359375
