,start,end,stock,buy point filter,sell strategy,revenue,trade times,revenue if buy and hold
0,2023-01-01,2023-08-20,AAPL,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.35386000244140614,2.0,0.3904180458068848
1,2023-01-01,2023-08-20,MSFT,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.20389901763916024,4.0,0.3152900375366211
2,2023-01-01,2023-08-20,AMZN,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.40780496289062484,6.0,0.5498400177001953
3,2023-01-01,2023-08-20,NVDA,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.8271949160766606,8.0,1.9998959747314453
4,2023-01-01,2023-08-20,GOOGL,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.5192890413208006,3.0,0.429407958984375
5,2023-01-01,2023-08-20,GOOG,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.5280330319213868,3.0,0.42635104064941404
6,2023-01-01,2023-08-20,META,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.7808969479370117,5.0,1.2680800170898439
7,2023-01-01,2023-08-20,TSLA,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,1.2263090829162597,9.0,0.9879880645751953
8,2023-01-01,2023-08-20,BRK-B,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.0851099719238282,3.0,0.13647998046875
9,2023-01-01,2023-08-20,UNH,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.032695906372070205,6.0,-0.038380023193359376
10,2023-01-01,2023-08-20,LLY,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.6182809656982421,3.0,0.4898880065917969
11,2023-01-01,2023-08-20,XOM,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,-0.010702970123291198,7.0,0.032828988647460935
12,2023-01-01,2023-08-20,JPM,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.0905599658203124,4.0,0.10249004516601562
13,2023-01-01,2023-08-20,JNJ,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.06097207366943367,3.0,-0.03191998291015625
14,2023-01-01,2023-08-20,V,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.09230701116943364,3.0,0.147743994140625
15,2023-01-01,2023-08-20,AVGO,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.28190402270507803,3.0,0.4902480834960937
16,2023-01-01,2023-08-20,PG,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.11403196325683602,2.0,0.006304908752441407
17,2023-01-01,2023-08-20,MA,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.020931976440429573,4.0,0.12703607177734375
18,2023-01-01,2023-08-20,HD,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.03554193725585938,4.0,0.03552597351074219
19,2023-01-01,2023-08-20,CVX,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.03503287487793005,5.0,-0.07461306610107422
20,2023-01-01,2023-08-20,MRK,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.01847793777465813,4.0,-0.017266021728515626
21,2023-01-01,2023-08-20,ABBV,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.10481103607177739,3.0,-0.07466403350830078
22,2023-01-01,2023-08-20,PEP,"IN_UPTREND, ",SellStrategy.TRAILING_STOP,0.07336995397949213,2.0,-0.006765060424804688
